signature_id;severity;description;signature_name
21287;High;This signature detects an attempt to upload Web scripts outside of the Microsoft Site Server configured path by crafting requests to CpHost.dll.;HTTP IIS CPHost Recursion Bypass
21289;High;This signature detects an attempt to remotely execute arbitrary shell commands by sending crafted HTTP requests to the CSVForm script.;HTTP CSVForm Shell Escape
21290;High;This signature detects attempts to exploit a vulnerability in Visual Studio .NET delivered in maliciously crafted Web sites.;Web Attack: Microsoft Visual Studio Remote Code Execution Vulnerability
21291;High;This signature detects Backdoor Trojan activity on the compromised computer.;System Infected: Trojan.Backdoor Activity 96
21292;Medium;This signature detects an attempt to execute remote commands caused by a flaw in the Athena Registration PHP script.;HTTP Athena Web Registration Cmd Exec.
21293;Medium;This signature detects an attempt to exploit a remote file include vulnerability, which may enable a remote attacker to execute arbitrary commands on a system hosting the software.;HTTP Remote File Include (Blackboard)
21294;Medium;This signature detects an attempt to exploit a remote file include vulnerability, which may enable a remote attacker to execute arbitrary commands on a system hosting the software.;HTTP Remote File Include (OCPortal)
21295;Medium;Script source code may be partially revealed to attackers.;HTTP MS IIS SERVER_NAME Src Disclosure
21296;Medium;This signature detects attempts to exploit a remote command execution vulnerability in the HP OpenView Network Node Manager.;Web Attack: HP OpenView Network Node Manager Remote Command Execution Vulnerability
21297;High;This signature detects HTTP requests attempting to exploit a remote file include vulnerability in a RaXnet Cacti PHP script.;HTTP RaXnet Cacti PHP File Include
21298;High;This signature detects HTTP requests containing illegal characters in an attempt to exploit a vulnerability in Community Link Pro's login.cgi script.;HTTP Comm. Link Pro login.cgi Cmd Exec
21299;Medium;This signature detects an attempt to exploit a privilege escalation vulnerability in the phpBB session.php script.;Attack: PHPBB Autologin User Level Priv Esc
21300;Low;This event indicates an attempt to log in to MSN Messenger over the default MSNMGR port and HTTP ports.;Audit: MSN Messenger Login
21301;Medium;This signature detects attempts to connect to the Thintune device by using a backdoor password.;Esesix Thintune BD Access
21302;Medium;This signature detects an attempt to execute remote code via the phpBB 'viewtopic' php script, caused by the lack of sanitization to the highlight parameter.;HTTP PHPBB Viewtopic Cmd. Exec
21304;High;This signature detects an attempt to overflow a buffer in a Web browser by detecting a malformed HTML link sent via HTTP.;HTML Domain Name BO (PoC)
21305;Medium;This signature detects an attempt of an attacker to specify a remote file in a specially crafted HTTP request made to the EasyDynamicPages config_page.php script.;HTTP EasyDynamicPages Config File Incl.
21306;Medium;This signature detects the trojan horse symbian installation file name (.sis) in an embedded GTP packet.;GTP SymbOS DoomBoot E
21307;Medium;This signature detects the trojan horse symbian installation file name (.sis) in an embedded GTP packet.;GTP SymbOS DoomBoot A
21308;Medium;This signature detects the trojan horse symbian installation file name (.sis) in an embedded GTP packet.;GTP SymbOS DoomBoot B
21309;Medium;This signature detects the trojan horse symbian installation file name (.sis) in an embedded GTP packet.;GTP SymbOS DoomBoot D
21310;Medium;This signature detects attempts to execute arbitrary JavaScript without the user's knowledge, caused by a weakness in the Firefox Plugin Finder Service.;HTTP Firefox PLUGINSPAGE Remote Exec
21311;High;This signature detects an attempt to exploit a weakness in the MSHTML.DLL component of Internet Explorer that would allow an attacker to execute arbitrary code on the target system.;HTTP MS IE MSHTML.DLL CSS Handling BO
21312;High;This signature detects attempts to exploit a buffer overflow weakness in the RealPlayer SMIL parsing engine.;HTTP RealPlayer SMIL File Stack BO
21313;High;This signature detects hidden iframe injected in websites, which upon visiting redirects the user to exploit kit hosted sites.;Web Attack: Mass Injection Attack 9
21314;High;This signature detects suspicious activities associated with the download of malware which may result in the compromise of the host.;System Infected: Trojan.Downloader Activity 53
21315;High;This signature detects attempts to exploit a vulnerability in the Internet Explorer MMS protocol handler that allows an attacker to upload arbitrary files to the target host.;HTTP MS IE MMS Proto Hndlr Cmd Injection
21316;High;This signature detects attemps to exploit a weakness in the Internet Explorer CSS parser, which allows an attacker to issue a denial-of-service attack on the target host and possibly allows the attacker to execute arbitrary code.;HTTP MS IE Style Tag Cmt Mem Corruption
21317;High;This signature detects attempts to spoof a local domain when presenting an SSL certificate that can allow an attacker to access the target system under specific circumstances.;HTTP MS IE MData Foreign Domain Spoofing
21318;High;This signature detects the Milw0rm exploit attempting to overflow a buffer caused by a Web site that contains a malformed domain name in the URI.;HTML Domain Name BO (Milw0rm Exploit)
21319;High;This signature detects HTTP requests made to the WebAPP server that attempts to execute arbitrary command on the remote server.;HTTP WebAPP apage.cgi Cmd. Exec.
21320;High;This signature detects attempts to execute code on a remote Web server caused by sending a specially crafted HTTP request to the csv_db.cgi.;HTTP K-COLLECT csv_db.cgi Cmd. Exec
21321;Medium;This signature detects an attempt to access the log files stored by phpMyFAQ that do not require authentication.;HTTP PHPMyFAQ Log Access
21322;Medium;This signature detects an attempt to exploit a directory traversal vulnerability in phpMyFAQ.;HTTP PHPMyFAQ Directory Traversal
21323;Medium;This signature detects Adware AdDestroyer activity.;AdDestroyer Activity
21324;High;This signature detects installation activities of the Spyware Apropos.;HTTP Apropos Installation Activity
21325;High;This signature detects the Spyware Apropos requesting advertisements from its controlling servers.;HTTP Apropos Ad Activity
21326;Medium;This signature detects the Adware BargainBuddy's request to download advertisements.;BargainBuddy Adv Activity
21327;Medium;This signature detects attempts to download the CometCursor Plus application software.;CometCursor Plus Download
21328;Medium;This signature detects Spyware CometCursor's attempts to send log information to its controlling server.;CometCursor Logging Information
21329;Medium;This signature detects attempts to download CometCursor Cursors.;CometCursor Cursor Download
21330;Medium;This signature detects Adware.Commonname agent requesting information from its controlling server.;System Infected: Adware.CommonName Activity
21331;High;This signature detects DoublePulsar backdoor activity.;Attack: SMB Double Pulsar Ping
21332;High;This signature detects DoublePulsar backdoor activity.;Attack: RDP Double Pulsar Ping
21333;Medium;This signature detects the adware reporting mistyped URLs to its controlling server.;Instafinder Reporting Mistyped URL
21334;Medium;This signature detects the adware requesting the configuration file from its controlling server.;System Infected: Adware.Instafinder Requesting Configuration
21335;Medium;This signature detects the adware performing a connection test after installation.;DAP Daptest Activity
21336;Medium;This signature detects the Adware Dealhelper downloading data and source files from its controlling servers.;HTTP Dealhelper Downloading Data
21337;High;This signature detects a unique E2Give AppID Registry Subkey.;E2Give AppID Registry Subkey
21338;High;This signature detects the installation activity of Spyware E2Give.;E2Give  InstallFile Request
21339;Medium;This signature detects the controlling activity data between the adware and its controlling server.;System Infected: Adware.Elitebar Control Information Activity
21340;Medium;This signature detects the update activities of the Adware Elitebar.;Elitebar Update Activity
21341;High;This signature detects the LOP Toolbar update activity.;LOP Toolbar Update
21342;High;This signature detects Adware.Lop communicating and requesting information from its controlling server.;System Infected: Adware.LOP Toolbar Activity
21343;High;This signature detects the Windupdates Mediapass Installer CLSID, which uniquely identifies the adware.;System Infected: Adware.Windupdates Mediapass Installer CLSID
21344;High;This signature detects requests for installation files during the Mediapass installation activity.;HTTP Windupdate Mediapass Install
21345;Medium;This signature detects requests for installation files during the installation process.;System Infected: Adware.PurityScan Installation Activity
21346;Medium;This signature detects notification activities between the adware and its controlling server.;PurityScan Notification Activity
21347;Medium;This signature detects the information transfer between the adware and its controlling server.;PurityScan  InfoTransfer Activity
21348;Medium;This signature detects the ShopAtHome Agent installation activity.;ShopAtHome Agent Installation Activity
21349;Medium;This signature detects the installation bundle tracking activity between the adware and its controlling server.;ShopAtHome Bundle Tracking
21350;Medium;This signature detects the ShopAtHome Agent registering with its controlling server.;ShopAtHome Agent Registration
21351;Medium;This signature detects the ShopAtHome agent requesting the preference files from its controlling server.;ShopAtHome Agent Preferences
21353;High;This signature detects the request for the Slagent DLL files during the installation phase of the adware.;Slagent DLL Request
21354;High;This signature detects the Slagent CLSID, which uniquely identifies the Adware.;Slagent Registry CLSID
21355;High;This signature detects the request for SurfSideKick Installation files.;HTTP SurfSideKick Installation Activity
21356;High;This signature detects the SurfSideKick autoupdate activity.;System Infected: Adware.SurfSideKick AutoUpdate Activity
21357;Medium;This signature detects the Starware installation activity.;System Infected: Starware Installation Activity
21358;Medium;This signature detects update activities of the adware Starware.;Starware Update Activity
21359;Medium;This signature detects the VirtualBouncer update activity.;System Infected: Adware.VirtualBouncer Update Activity
21360;Medium;This signature detects the VirtualBouncer installation activity.;VirtualBouncer Installation Activity
21361;Medium;This signature detects the adware's installation activity.;System Infected: Adware.Envolo Installation Activity
21362;Medium;This signature detects the adware autoupdate activities.;Envolo AutoUpdate Activity
21363;High;This signature detects the spyware uploading registration information to its controlling server.;HTTP ShopNav Uploading Reg Info
21364;High;This signature detects the hijacking attempts made by the Adware.SuperSpider.;SuperSpider Hijack Activity
21365;Medium;This signature detects Websearch actvity.;WebSearch Activity
21366;Medium;This signature detects Websearch reporting installation information to its controlling server.;Web Attack: Websearch Reporting Log Information
21367;Medium;This signature detects Websearch downloading configuration information from its controlling server.;Websearch Configuration Request
21368;High;This signature detects Adware BookedSpace activity between the adware and its controlling server.;HTTP BookedSpace Activity
21369;High;This signature detects Adware.BookedSpace downloading files from its controlling server.;BookedSpace Downloading Files
21370;Medium;This signature detects IPInsight StubSentry activity.;System Infected: Adware.IPInsight StubSentry Activity
21371;Medium;This signature detects Adware IPInsight StubConscorr activity.;System Infected: Adware.IPInsight StubConscorr Activity
21374;Medium;This signature detects the ZangoSearch registry subkey. This key uniquely identifies the adware.;ZangoSearch CLSID Reg. Subkey Install
21375;Medium;This signature detects the logging activity of the adware.;System Infected: Adware.MedLoad Logging Activity
21376;Medium;This signature detects the MedLoad OCX file download requests.;System Infected: Adware.MedLoad OCX FileDownload
21377;Medium;This signature detects requests to download the MedLoad installation files.;System Infected: Adware.MedLoad InstallFile Download
21378;High;This signature detects the adware communicating with its controlling server while attempting to redirect and display pop-up advertisements.;System Infected: Adware.IEDriver Popup Activity
21380;Medium;This signature detects Adware.NaviHelper installation activities.;NaviHelper Installation Activity
21381;Medium;This signature detects the update activities of the Adware.NaviHelper.;NaviHelper Update Activity
21382;Medium;This signature detects GameSpyArcade performing a version check.;Gamespyarcade Version Check
21383;Medium;This signature detects GameSpyArcade requesting information from its controlling server.;GameSpyArcade Requesting StatInfo
21384;Medium;This signature detects the installation activities for the Adware BargainBuddy.;BargainBuddy Installation Activity
21385;High;This signature detects the usage of the sqldict brute force login tool against a SQL server.;Attack: SQLDict Brute Force Password Tool Request
21386;High;This signature detects attempts to exploit a vulnerability in Microsoft Client Service for Netware.;MS Netware NWWKS BO
21387;High;This signature detects attempts to exploit a vulnerability in Microsoft Windows Plug and Play (PnP) service.;MS PNP Registry DeviceName BO
21388;High;This signature detects an attempt to exploit a vulnerability in .lnk files.;HTTP MS Lnk File FaceName BO
21389;High;This signature detects an attempt to exploit a vulnerability in the MSDTC component.;MS MSDTC UserAllocate BO
21390;Low;This signature detects an FTP file retrieve request containing a large number of recursion characters.;FTP File Request Directory Traversal
21391;High;This signature detects attempts to exploit a vulnerability in VERITAS NetBackup.;Veritas bpjava Format String BO
21392;Medium;This signature detects attempts to exploit a remote command execution vulnerability in the PHPOutsourcing Zorum prod.php script.;HTTP PHPOutsourcing Prod.PHP Cmd Exec.
21393;High;This signature detects attempts to exploit an buffer overflow vulnerability in the CISCO IOS Firewall Authentication Proxy.;CISCO IOS FW Authentication Proxy BO
21394;Medium;This signature detects an attempt to execute remote commands caused by a flaw in the WPS wps_shop.cgi script that does not properly sanitize escape characters.;HTTP WPS wps_shop.cgi Cmd Exec
21395;Medium;This signature detects an attempt to execute remote commands caused by a flaw in a JamMail Perl script.;HTTP Jammail Jammail.pl Cmd Execution
21397;High;This signature detects attempts to exploit a remote buffer overflow vulnerability in the Snort Back Orifice preprocessor.;Snort BackOrifice Preprocessor BO
21400;High;This signature detects the request for data between the adware and its controlling server.;System Infected: Adware.IEFeats Data Transfer
21401;High;This signature detects the adware requesting data from its controlling server.;System Infected: Adware.CWSIEFEATS  Data Transfer
21402;Medium;This signature detects the adware redirecting mistyped URLs to its servers or sponsored pages.;System Infected: Adware.NewDotNet Redirecting Mistyped URL
21403;Medium;This signature detects the adware requesting DLL files from its controlling servers.;System Infected: Virtumonde Requesting DLL Files
21404;High;This signature detects the data transfer between the adware and its controlling server.;System Infected: Adware.Quadro Data Transfer
21406;High;This signature detects the activity between the adware and its controlling server.;System Infected: Adware.CoolWebSearch Activity
21407;Medium;This signature detects the adware's pop-up activity.;Ebates Moemoney Popup Activity
21408;Medium;This signature detects the adware's tracking activity.;Ebates Moemoney Tracking Activity
21410;Medium;This signature detects the adware's redirect activity.;System Infected: Adware.Incredifind  Redirect Activity
21414;High;This signature detects the adware installer requesting installation files from its controlling server.;HTTP BroadcastPC Activity
21415;High;This signature detects the adware's redirection attempts.;System Infected: Adware.SafeSearch Redirection Attempt
21416;Medium;This signature detects the adware's update attempts.;System Infected: Adware.StatBlaster Update
21418;Medium;This signature detects the DNS request made by the spyware to resolve the hostname of its controlling server.;Goidr DNS Request
21420;High;This signature detects attempts to exploit a vulnerability in Microsoft Internet Explorer which allows the execution of .CHM files from untrusted zones.;Web Attack: MS IE Dbl Backslash CHM File Exec CVE-2004-0475
21421;High;This signature detects attempts to exploit a vulnerability in Microsoft Internet Explorer which allows an attacker to execute files in known locations on a victim host.;HTTP MS IE Dbl Backslash Local Zone Exec
21422;Medium;This signature detects attempts to exploit a vulnerability in Microsoft Internet Explorer which allows an attacker to issue a denial of service attack on the victim host Internet Explorer Web browser.;HTTP MS IE Object Element Data DoS
21423;Medium;This signature detects attempts to exploit a vulnerability in Microsoft Internet Explorer which allows an attacker issue a denial of service attack against the victim's Internet Explorer Web browser.;HTTP MS IE Macromedia Flash Plugin DoS
21424;Medium;This signature detects attempts to exploit a vulnerability in Microsoft Internet Explorer which allows an attacker to issue a denial of service against the victims Internet Explorer Web browser.;HTTP MS IE MSWebDVD Object DoS
21428;High;This signature detects the adware installer requesting setup files from its controlling server.;System infected: Adware.BlazeFind SetupFile Request
21429;High;This signature detects the adware requesting updates from its controlling server.;System Infected: Adware.Look2ME Updates
21430;Medium;This signature detects the trackware posting information to its controlling server.;WebHancer Posting Information
21432;High;This signature detects the control information transfer between the adware and its controlling server.;HTTP Clearsearch ControlInfo Transfer
21433;High;This signature detects the Clearsearch installer requesting install files from its controlling server.;Clearsearch InstallFiles Request
21434;High;This signature detects the adware pinging its controlling server.;Clearsearch Ping Request
21438;Medium;This signature detects the adware communicating with its controlling server.;Favoriteman Activity
21441;Medium;This signature detects the adware requesting DLL files from its controlling server.;System Infected: Adware.MemoryMeter DLL Download
21443;High;This signature detects the adware communicating with its controlling server.;HTTP Begin2Search Activity
21444;Medium;This signature detects the adware's redirection activity.;LinkMaker Activity
21446;High;This signature detects the DNS request made by the spyware to resolve the hostname of its controlling server.;QuickSearch DNS Request
21447;High;This signature detects the spyware communicating with its controlling servers.;HTTP QuickSearch Activity
21449;High;This signature detects the spyware toolbar's search activities.;ISearch Search Activity
21450;High;This signature detects the DNS request made by the spyware to resolve the hostname of its controlling server.;ISearch DNS Request
21451;Medium;This signature detects the spyware's URL hijacking attempts.;ISearch Mistyped URL Hijack Attempt
21452;Medium;This signature detects the HTTP request for the spyware's installation files.;System Infected: Adware.Perfect InstallFIle Download
21453;Medium;This signature detects Adware.TargetSaver activity which monitors open windows and displays advertisements.;HTTP TargetSaver Update Activity
21456;Medium;This signature detects the adware's upgrade requests.;HTTP SideSearch Activity
21457;High;This signature detects attempts to exploit a vulnerability in the Firefox Web browser which allows an attacker to execute arbitrary Javascript through the Favicon link.;HTTP Firefox Favicon Link Tag Code Exec
21458;High;This signature detects attempts to exploit a vulnerability in the Kazaa associated SIG2DAT protocol which allows an attacker to remotely creat files on the victim host, and possibly remotely execute arbitrary code.;Kazaa Sig2Dat Protocol Code Exec
21459;High;This signature is to detect W97M.Downloader activity.;System Infected: W97M.Downloader Activity 32
21465;Medium;This signature detects the adware requesting installation files.;HTTP Mediaticket FileRequest Activity
21466;Medium;This signature detects the adware's request for setup/installation files.;P2PNetworking SetupFile Request
21469;Medium;This signature detects the request for the adware's setup files.;Helpexpress SetupFile Request
21470;High;Adware.Adlogix is a Browser Helper Object that downloads advertisements from a remote server and periodically displays them on the client machine. This adware is also found as a component in other installers.;Adlogix SetupFile Request
21472;High;This signature detects the adware communicating and requesting information from its controlling server.;HTTP IGetNet Activity
21475;High;This signature detects the adware communicating with its controlling server.;System Infected: Adware.Webrebate Activity
21476;Medium;This signature detects the adware requesting files from its controlling/distributing server.;WildMedia WinFetch Activity
21481;High;This signature detects an attempt to exploit a buffer overflow vulnerability in Oracle 9i.;Oracle XDB FTP BO
21482;High;This signature detects an unspecified vulnerability in a MS Word document which will result in dropping a backdoor on the exploited machine.;System Infected: MS Word Embed Macro Attack 2
21483;Medium;An attacker can arbitrarily view confidential data.;Attack: Nucleus Common.PHP File Include
21484;High;This signature detects attempts to exploit a buffer overflow vulnerability in the Mercantec SoftCart CGI executable.;Mercantec Softcart URI BO
21485;High;This signature detects attempts to exploit a remote command execution vulnerability in the WeHelpBUS product.;HTTP WeHelpBus Remote Cmd Exec
21486;Medium;This signature detects fragmented RPC traffic on the network, where fragment size is less than the negotiated transmit fragment length.;MSRPC Small Fragment Activity
21487;Medium;This signature detects multiple context IDs in the RPC Bind Request.;OS Attack: MSRPC Multiple Context IDS
21488;Medium;An attacker can arbitrarily view confidential data.;HTTP Remote File Include (SIRGNU)
21489;Medium;This signature detects attempts to exploit a directory traversal vulnerability in  the JAF CMS application.;System Infected: Trojan.Venik Activity 2
21490;High;This signature detects attempts to exploit a remote buffer overflow vulnerability in the WvTftp server.;WVTFTP Blksize Length Remote BO
21491;High;This signature detects attempts to exploit an input validation vulnerability in the AWStats Rawlog Plugin.;HTTP AwStats Logfile Input Validation
21492;High;This signature detects attempts to exploit a shell metacharacter command execution vulnerability in the Axis server.;HTTP Axis Network Command Exec
21493;High;This signature detects a buffer overflow in a shared library used by many Symantec Veritas Backup Exec daemons that could lead to system compromise.;Veritas NetBackup Shared Library BO
21494;Medium;This signature detects attempts to exploit a directory traversal vulnerability affecting WebConnect.;HTTP OpenConnect Directory Traversal
21495;High;This signature detects attempts to exploit a directory traversal vulnerability in BibORB.;HTTP Biborb Directory Traversal
21496;High;This signature detects attempts to exploit a directory traversal vulnerability in the Magic Winmail Server.;WinMail Directory Traversal
21497;Medium;Remote attackers may execute arbitrary PHP script code in the context of the Web server hosting the affected application.;HTTP Remote File Include (MediaWiki)
21498;Medium;This signature detects attempts to exploit a format string vulnerability in the Berlios gps daemon.;Berlios GPSD Format String
21499;Medium;This signature detects attempts to exploit a directory traversal vulnerability in the Singapore Image Gallery application.;HTTP Singapore Gallery Directory Traversal
21500;High;This signature detects attempts to exploit a SQL injection vulnerability in the SalesLogix server.;Web Attack: SalesLogix Server SQL Injection Vulnerability
21501;High;This signature detects attempts to exploit an arbitrary file upload vulnerability in the SalesLogix server.;HTTP SalesLogix File Upload Dir. Traversal
21502;High;This signature detects attempts to exploit a SQL injection vulnerability in the ULog-php application.;HTTP INL Ulog-PHP Sql Injection
21503;High;This signature detects attempts to exploit a SQL injection vulnerability in the Invision Power Board ssi.php script.;InvisionBoard SQL Injection
21504;High;This signature detects attempts to exploit a SQL injection vulnerability in the Web+Center application.;HTTP Internet Software Science SQL Inj.
21505;High;This signature detects attempts to exploit a SQL injection vulnerability in the LinPHA application.;HTTP Linpha SQL Injection
21506;High;This signature detects attempts to exploit a SQL injection vulnerability in the Wordpress application.;HTTP WordPress SQL Injection
21507;High;This signature detects Ransomware network encryption activity.;System Infected: Ransom.Coverton Activity
21508;High;This signature detects attempts to exploit a denial-of-service vulnerability, using the RPC interfaces exposed for the Windows Plug and Play service.;MSRPC PnP GetDeviceList DoS
21509;Medium;This signature detects Sony Music CD's transmission of information to Sony Web servers. This behavior is not referenced in the End User License Agreement.;HTTP Sony First4Internet DRM Activity
21510;High;This signature detects attempts to exploit a JavaScript vulnerability in specific versions of Microsoft Internet Explorer Web browser.;Attack: MSIE JavaScript OnLoad Rte CodeExecution
21511;Medium;This signature detects attempts to exploit a IFRAME rendering vulnerability in the Firefox Web browser that can cause a denial of service.;HTTP Mozilla Firefox IFRAME Handling DoS
21512;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the htimage.exe Microsoft FrontPage extension.;Web Attack: HTTP MS Frontpage Image Mapper BO
21513;High;This signature detects attempts to exploit a file disclosure vulnerability in the JavaScript GetObject function, while used in combination with the htmlfile ActiveX object.;HTTP MS IE GetObject File Disclosure
21514;Medium;This signature detects attemps to exploit a denial of service vulnerability in Microsoft Internet Explorer.;HTTP MS IE DHTML AnchorClick Partial DoS
21515;High;A problem has been identified in the handling of some types of requests by ActiveX controls installed with Yahoo! Messenger.;HTTP Yahoo! IM Activex yauto.dll BO
21516;High;This signature detects an HTTP URI attempting to exploit the Help and Support Center for Windows XP.;HTTP MS XP HCP URI Handler Abuse
21518;High;It has been reported that a remotely exploitable denial-of-service vulnerability exists in Microsoft Internet Information Server 5.1. Versions 5.0 and 6.0 are not affected.;HTTP MS IIS Malformed URL DoS
21519;High;This signature detects attempts to exploit a heap overflow vulnerability in the RSA Authentication Agent for Microsoft Internet Information Services (IIS) servers.;RSA Agent Chunked Encoding Heap BO
21520;High;This signature detects attempts to exploit a stack-based buffer overflow vulnerability specific to the Redirect function of RSA Authentication Agent for the Microsoft Internet Information Services (IIS).;Web Attack: RSA Authentication Agent Buffer Overflow Vulnerability
21521;Medium;This signature detects attempts to exploit a denial-of-service vulnerability in the Symantec pcAnywhere authentication routine.;Symantec PCAnywhere Heap BO
21522;High;This signature detects Trojan.Broluxa activity on compromised machines.;System Infected: Trojan.Broluxa Activity 2
21523;Medium;This signature detects attempts to exploit a buffer overflow vulnerability due to the unchecked mailbox name length in some IMAP commands.;IMAP Mailbox Name Length BO
21524;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the Novell NetMail IMAP server.;Novell IMAP Mailbox BO
21525;High;This signature detects W32.Qakbot activity onto the infected system.;System Infected: W32.Qakbot Activity 16
21526;High;This signature detects an attempt to exploit a vulnerability in the Microsoft Windows Metafile (WMF) image format.;Attack: MS Windows WMF CVE-2005-4560
21527;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the Microsoft Windows DirectX component.;MS DirectShow AVI BO
21528;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the VMWare NAT Service when processing a crafter FTP command.;Web Attack: VMware NAT Service Buffer Overflow Vulnerability
21529;High;This signature detects attempts to exploit a heap based overflow vulnerability that has been reported in Apple QuickTime and ITunes.;Apple QuickTime and ITunes Overflow
21530;Medium;This signature detects attempts to exploit a heap overflow vulnerability in the application when it processes a malicious GIF image.;HTTP GIF Netscape Ext. Malformed Heap BO
21531;High;This signature detects attempts to exploit a buffer overflow vulnerability in the Computer Associates License software using crafted GCR commands.;Attack: Computer Associates License CGR CVE-2005-0583
21532;High;This signature detects attempts to exploit a buffer overflow vulnerability in the Computer Associates License software by sending a crafted GetConfig packet.;Computer Associates License GetConfig BO
21533;Medium;This signature detects attempts to exploit an input validation vulnerability that may be leveraged to inject a malicious shared library into the 'mysql.func' table.;MySQL Func Table Arbitrary Lib Injection
21534;Medium;This signature detects anonymous requests made to access the registry on the target server.;Audit: Veritas BackupExec Anon Registry Access
21535;Medium;This signature detects attempts to exploit a remote integer vulnerability affecting Apple QuickTime applications when processing a malicious .MOV file.;Apple Quicktime MOV Integer Overflow
21536;Medium;This signature detects attempts to exploit a directory traversal vulnerability in the Report Service of the IPSwitch Whats Small Business 2004 application.;IPSwitch Whatsup Server Dir. Traversal
21537;Medium;This signature detects attempts to exploit a format string vulnerability in the RealPlayer and Helix Players.;HTTP RealPlayer Error Msg Format String
21538;Medium;This signature detects attempts to exploit multiple SQL injection vulnerabilities in the ZENworks Patch Management System.;Novell Zen Works Patch Mgmt. SQL Inj.
21540;Medium;This signature detects attempts to exploit a remote denial-of-service vulnerability in the Ipswitch IMAP server.;IMAP LIST Command Buffer Overflow
21541;Medium;This signature detects attempts to exploit a format string vulnerability in the IPswitch SMTP Server.;IPSwitch SMTP Format String BO
21543;High;phpMyAdmin 2.6.0-pl2, and other versions before 2.6.1, with external transformations enabled, allows remote attackers to execute arbitrary commands via shell metacharacters.;HTTP phpMyAdmin Cmd. Exec.
21544;Medium;This signature detects requests to change the service configuration of a service on the remote system using the svcctl named pipe.;MSRPC Svcctl ChangeConfigService Req.
21545;Medium;"This signature detects users making attempts to connect to a share using the username credentials ""Guest"". The Guest account is disabled by default on most Windows installations.";Audit: SMB Guest Login
21547;High;Signature detects Wordpress Admin-Ajax Load-More function to upload arbitrary code.;Attack: Wordpress Ajax Load More RCE
21551;Medium;This signature detects attempts to exploit a buffer overflow vulnerability in the NPDSPLAY.DLL.;Web Attack: Embed Tag NPDSPlay DLL Buffer Overflow
21552;Medium;This signature detects attempts to exploit an integer overflow vulnerability by sending a malformed WMF file.;Web Attack: WMF Metahdr FileSize Int. Overflow
21553;High;This signature detects attempts to exploit a buffer overflow vulnerability in the Web Client service, using the RPC interface exposed by the Web Client service.;MSRPC WebClient DAVRCreateConnection BO
21555;High;Microsoft Windows Media Player is prone to a remote buffer overflow vulnerability related to malformed BMP file processing.;HTTP Windows Media Player BMP BO
21558;Medium;This signature detects HTTP requests for the spyware's installation files.;Megasearchbar InstallationFile Request
21563;High;This signature detects the HTTP request for the spyware's installation files.;Dotcomtoolbar Installation Files Request
21566;High;This signature detects the HTTP request for the EastWWW's installation files.;HTTP EasyWWW Install File Request
21568;High;This signature detects the spyware uploading information to its controlling servers.;System Infected: Adware.2020Search Info. Upload Request
21569;High;This signature detects HTTP requests for the spyware's installation files.;2020Search Installation File Request
21570;High;This signature detects the spyware requesting configuration from its controlling server.;System Infected: Adware.2020Search Configuration Request
21571;High;This signature detects an attempted attack against Internet Explorer caused by a maliciously crafted website.;HTTP MSIE Action Script Handler BO
21573;High;This signature detects HTTP requests for the spyware's installation file.;Tafbar Install File Request
21574;High;This signature detects Spyware.SearchPounder communicating and requesting information from its controlling server.;HTTP SearchPounder Info Request
21575;High;This signature detects HTTP requests for the spyware's installation file.;HTTP ZSearch Installation File Request
21578;Medium;This signature detects attempts to exploit a remote code execution vulnerability in the Darryl Burgdorf Webhints application.;HTTP Webhints Remote Code Exec
21580;High;This signature detects attempts to exploit the CreateTextRange() remote code execution vulnerability affecting Microsoft Internet Explorer.;HTTP MSIE CreateTextRange Code Exec
21581;Medium;This signature detects attempts to exploit a remote code execution vulnerability in the Sendmail application.;Sendmail Async Handler Remote Code Exec
21583;Medium;This signature detects attempts to exploit a cross-site scripting vulnerability discovered in Microsoft FrontPage Server Extensions 2002.;HTTP MS FrontPage Server Ext. XSS
21584;High;This signature detects attempts to exploit a remote code execution vulnerability using the RDS.DataSpace Objects.;Web Attack: Microsoft MDAC RDS.Dataspace ActiveX Control Remote Code Execution CVE-2006-0003
21585;Medium;This signature detects attempts to exploit a SQL injection vulnerability in the Symantec Sygate Management Server.;HTTP Sygate Policy Mgr SQL Injection
21586;Medium;This signature detects Ares P2P client connections.;Audit: P2P Ares Client Connection
21587;Medium;This signature detects a DirectConnect client on the network.;Audit: P2P DirectConnect Application
21588;High;This signature detects the use of the PwDump (V3,V4,V6) tool on the network.;PWDump Tool Activity
21589;Medium;This signature detects the Overnet client issuing a file search request.;Audit: P2P Overnet Search Request (UDP)
21590;Low;This signature detects the Ping messages between an eDonkey client and an eDonkey server.;Audit: P2P Edonkey Ping Message
21591;Medium;This signature detects the initial handshake packet between a Kad eMule client and its peer.;Attack: P2P Emule Kademlia Request
21592;Low;This signature detects the eDonkey client requesting a slot on the peers upload queue.;Audit: P2P Edonkey Start Upload Request
21593;Medium;This signature detects the FastTrack client pinging the FastTrack supernodes.;Audit: P2P Fasttrack Network Ping Messages
21594;Medium;This signature detects the OpenFT client requesting a file from its peer.;Audit: P2P OpenFT File Request
